X,Y,xcoord,ycoord,imb_nbr_logloc,imb_type,addr_numero,addr_nom_voie
-1.57128085757414,47.2299348789186,-174914.184958371,5979686.38943723,1,PA,55,Boulevard Lelasseur,
-1.57157157739587,47.2176276540345,-174946.54774089,5977669.07243711,20,IM,14,Avenue des Acacias,
-1.56172240557738,47.2145308174402,-173850.14294932,5977161.53368141,7,IM,6,Rue Jean de la Fontaine,
-1.55084925103634,47.2246166962322,-172639.748922495,5978814.61146419,25,IM,9,Rue Jean Emile Laboureur,
-1.55803419217408,47.219067728328,-173439.572911328,5977905.09547604,13,IM,29,Rue du Bourgneuf,
-1.54934096831737,47.2113118025539,-172471.847658247,5976634.00261176,1,PA,19,Passage Berthault,
-1.57564727849567,47.2317824017378,-175400.252711946,5979989.26330797,1,PA,53,Boulevard Jean XXIII,
-1.56988654258672,47.2198945242519,-174758.970523967,5978040.60727497,1,PA,16,Rue Charles Monselet,
-1.54765948056791,47.2171040897518,-172284.665298202,5977583.26370803,2,PA,0,place de la duchesse anne,
-1.56975013023251,47.2279843402,-174743.785170158,5979366.63909981,1,PA,8,Rue Félix Faure,
-1.56299277224821,47.213822452634,-173991.559520238,5977045.44434889,10,IM,4,Rue Franklin,
-1.57018467083966,47.210039821506,-174792.158009275,5976425.55961409,1,PA,19,Rue Dobrée,
-1.55000826037764,47.2228822909413,-172546.130270606,5978530.31966059,25,IM,9,Allée de la Reine Margot,
-1.54929175520236,47.2201014507341,-172466.369279344,5978074.52284278,2,PA,92,Rue Maréchal Joffre,
-1.55548394320687,47.2303500226676,-173155.680494902,5979754.44515692,1,PA,2,Rue Fellonneau,
-1.5712075793111,47.2224169496412,-174906.027659444,5978454.04569309,1,PA,4,Rue George Sand,
-1.5649950080451,47.2289564514033,-174214.447389596,5979525.99508353,1,PA,32,Rue Emile Souvestre,
-1.57406314979546,47.2178944568327,-175223.908311687,5977712.79998006,41,IM,54,Rue Colonel Desgrées du Lou,
-1.57584458911928,47.2220038180289,-175422.217230094,5978386.32996251,1,PA,14,Rue des Folies Chaillou,
-1.56984998241712,47.2251894020308,-174754.900664504,5978908.48750817,1,PA,4,Chemin de la Pelleterie,
-1.55832637076711,47.2272713471419,-173472.098083525,5979249.76162354,1,PA,15,Rue Saint Antoine,
-1.54821453310423,47.227659968764,-172346.453463908,5979313.46627664,1,PA,47,Rue Desaix,
